date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20221014,2022,CALL,3600,0.7000000000000001,3,204.0,expire,16:00
20221014,2022,PUT,3590,1.2500000000000002,4,12.000000000000107,touch,15:55
20221017,2022,CALL,3690,0.39999999999999997,3,114.0,expire,16:00
20221017,2022,PUT,3675,0.19999999999999998,3,54.0,expire,16:00
20221018,2022,CALL,3720,0.7000000000000001,3,174.00000000000003,touch,15:59
20221018,2022,PUT,3710,0.35000000000000003,3,99.0,expire,16:00
20221019,2022,CALL,3690,0.7999999999999999,3,-276.0,touch,15:54
20221019,2022,PUT,3680,0.45000000000000007,3,129.0,expire,16:00
20221020,2022,CALL,3675,0.5,3,-365.99999999999994,touch,15:54
20221020,2022,PUT,3665,0.6,3,173.99999999999997,expire,16:00
20221021,2022,CALL,3760,0.2,3,54.00000000000001,expire,16:00
20221021,2022,PUT,3745,0.25000000000000006,3,69.00000000000003,expire,16:00
20221024,2022,CALL,3800,0.7000000000000001,3,204.0,expire,16:00
20221024,2022,PUT,3790,0.25,3,69.0,expire,16:00
20221025,2022,CALL,3865,0.44999999999999996,3,129.0,expire,16:00
20221025,2022,PUT,3855,0.6000000000000001,3,174.00000000000003,expire,16:00
20221026,2022,CALL,3840,0.1,3,24.000000000000004,expire,16:00
20221026,2022,PUT,3825,0.15,3,38.99999999999999,expire,16:00
20221027,2022,CALL,3815,0.55,3,159.0,expire,16:00
20221027,2022,PUT,3805,0.55,3,-381.0,touch,15:56
20221028,2022,CALL,3910,0.15,3,38.99999999999999,expire,16:00
20221028,2022,PUT,3895,0.19999999999999998,3,54.0,expire,16:00
20221031,2022,CALL,3880,0.35000000000000003,3,99.0,expire,16:00
20221031,2022,PUT,3865,0.25,3,69.0,expire,16:00
20221101,2022,CALL,3865,0.30000000000000004,3,84.00000000000001,expire,16:00
20221101,2022,PUT,3855,0.09999999999999999,3,24.0,expire,16:00
20221102,2022,CALL,3770,1.15,3,339.0,expire,16:00
20221102,2022,PUT,3760,0.7,3,83.99999999999999,touch,15:59
20221103,2022,CALL,3730,0.5,3,144.0,expire,16:00
20221103,2022,PUT,3720,0.3,3,-411.0,touch,15:57
20221104,2022,CALL,3765,0.45,3,-140.99999999999997,touch,15:55
20221104,2022,PUT,3755,0.6499999999999999,3,188.99999999999997,expire,16:00
20221107,2022,CALL,3815,0.15000000000000002,3,39.00000000000001,expire,16:00
20221107,2022,PUT,3800,0.15,3,38.99999999999999,expire,16:00
20221108,2022,CALL,3845,0.35000000000000003,3,99.0,expire,16:00
20221108,2022,PUT,3835,0.7999999999999999,3,-396.00000000000006,touch,15:55
20221109,2022,CALL,3755,0.55,3,159.0,expire,16:00
20221109,2022,PUT,3745,0.75,3,219.0,expire,16:00
20221110,2022,CALL,3955,0.8,3,-125.99999999999997,touch,15:53
20221110,2022,PUT,3945,0.3,3,83.99999999999999,expire,16:00
20221111,2022,CALL,4005,0.30000000000000004,3,84.00000000000001,expire,16:00
20221111,2022,PUT,3990,0.3,3,83.99999999999999,expire,16:00
20221114,2022,CALL,3980,0.30000000000000004,3,84.00000000000001,expire,16:00
20221114,2022,PUT,3970,0.55,3,-201.00000000000003,touch,15:53
20221115,2022,CALL,3990,0.7999999999999999,3,-81.00000000000003,touch,15:58
20221115,2022,PUT,3980,0.9499999999999997,3,278.99999999999994,expire,16:00
20221116,2022,CALL,3970,0.6000000000000001,3,174.00000000000003,expire,16:00
