label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"PUT, 15:53, d=1, t=$+2.0, w=10",15:53,1,10,2.0,PUT,-3766,-4867,47.2,502,-1.03,0.81,-944
"BOTH, 15:53, d=1, t=$+2.0, w=5",15:53,1,5,2.0,BOTH,-34572,-36350,42.7,1028,-2.7,0.62,-1508
"BOTH, 15:53, d=1, t=$+2.0, w=10",15:53,1,10,2.0,BOTH,-5898,-7044,47.2,1038,-0.94,0.83,-944
"PUT, 15:53, d=2, t=None, w=5",15:53,2,5,,PUT,-44326,-44586,20.7,503,-10.11,0.1,-788
"PUT, 15:53, d=2, t=None, w=10",15:53,2,10,,PUT,-15108,-15326,26.9,516,-6.62,0.2,-644
"BOTH, 15:53, d=2, t=None, w=5",15:53,2,5,,BOTH,-79439,-79771,20.2,1034,-10.01,0.11,-788
"BOTH, 15:53, d=2, t=None, w=10",15:53,2,10,,BOTH,-25438,-25609,27.7,1052,-6.57,0.22,-644
"PUT, 15:53, d=2, t=$-0.5, w=5",15:53,2,5,-0.5,PUT,4044,-5891,64.8,503,0.57,1.09,-788
"PUT, 15:53, d=2, t=$-0.5, w=10",15:53,2,10,-0.5,PUT,5952,-1322,67.8,516,1.68,1.35,-644
"BOTH, 15:53, d=2, t=$-0.5, w=5",15:53,2,5,-0.5,BOTH,22306,-7505,67.4,1034,1.64,1.3,-788
"BOTH, 15:53, d=2, t=$-0.5, w=10",15:53,2,10,-0.5,BOTH,17637,-1383,70.0,1052,2.82,1.64,-644
"PUT, 15:53, d=2, t=$+0.0, w=5",15:53,2,5,0,PUT,3384,-6491,63.0,503,0.49,1.08,-788
"PUT, 15:53, d=2, t=$+0.0, w=10",15:53,2,10,0,PUT,5737,-1212,66.3,516,1.66,1.35,-644
"BOTH, 15:53, d=2, t=$+0.0, w=5",15:53,2,5,0,BOTH,14621,-8866,64.0,1034,1.12,1.2,-788
"BOTH, 15:53, d=2, t=$+0.0, w=10",15:53,2,10,0,BOTH,14607,-1246,66.8,1052,2.41,1.53,-644
"PUT, 15:53, d=2, t=$+0.5, w=5",15:53,2,5,0.5,PUT,879,-7298,60.2,503,0.13,1.02,-788
"PUT, 15:53, d=2, t=$+0.5, w=10",15:53,2,10,0.5,PUT,4792,-1439,64.0,516,1.43,1.3,-644
"BOTH, 15:53, d=2, t=$+0.5, w=5",15:53,2,5,0.5,BOTH,5386,-10532,60.4,1034,0.43,1.07,-788
"BOTH, 15:53, d=2, t=$+0.5, w=10",15:53,2,10,0.5,BOTH,10837,-1956,63.6,1052,1.86,1.4,-644
"PUT, 15:53, d=2, t=$+1.0, w=5",15:53,2,5,1.0,PUT,-4121,-8072,54.5,503,-0.63,0.9,-788
"PUT, 15:53, d=2, t=$+1.0, w=10",15:53,2,10,1.0,PUT,2737,-1569,58.9,516,0.83,1.17,-644
"BOTH, 15:53, d=2, t=$+1.0, w=5",15:53,2,5,1.0,BOTH,-3114,-12362,55.8,1034,-0.26,0.96,-788
"BOTH, 15:53, d=2, t=$+1.0, w=10",15:53,2,10,1.0,BOTH,7357,-2265,59.6,1052,1.29,1.27,-644
"PUT, 15:53, d=2, t=$+2.0, w=5",15:53,2,5,2.0,PUT,-9386,-12382,47.9,503,-1.5,0.77,-788
"PUT, 15:53, d=2, t=$+2.0, w=10",15:53,2,10,2.0,PUT,552,-2289,53.5,516,0.17,1.03,-644
"BOTH, 15:53, d=2, t=$+2.0, w=5",15:53,2,5,2.0,BOTH,-17724,-20059,48.5,1034,-1.56,0.77,-788
