iteration,timestamp,idea,entry_time,direction,width,otm_distance,interval,filters,qty,num_trades,win_rate,total_pnl,max_drawdown,sharpe,calmar,profit_factor,avg_win,avg_loss,max_single_loss,verdict,notes
89,2026-04-03 13:47:39,skip_wed_thu,15:55:00,both_sides,15.0,12.0,single,skip_wed+thu+prior1.5,10,156,100.0,24480.0,0.0,11.14,0,inf,156.92,0,30.0,SWEEP,
90,2026-04-03 13:47:43,ema_bullish_only,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+ema_bull,10,213,99.1,31110.0,-820.0,10.22,37.94,21.47,154.64,-760.0,-820.0,SWEEP,
91,2026-04-03 13:47:44,vix_term_1.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vixterm1.0,10,72,98.6,11060.0,-820.0,9.65,13.49,14.49,167.32,-820.0,-820.0,SWEEP,
92,2026-04-03 13:47:46,vix_term_1.05,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vixterm1.05,10,126,99.2,19530.0,-820.0,10.27,23.82,24.82,162.8,-820.0,-820.0,SWEEP,
93,2026-04-03 13:47:49,vix_term_1.1,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vixterm1.1,10,160,98.8,24320.0,-820.0,10.08,29.66,17.0,163.54,-760.0,-820.0,SWEEP,
94,2026-04-03 13:47:51,vvix_max_90,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vvix90,10,35,97.1,1470.0,-700.0,5.71,2.1,3.1,63.82,-700.0,-700.0,SWEEP,
95,2026-04-03 13:47:55,vvix_max_100,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vvix100,10,92,98.9,8880.0,-700.0,8.92,12.69,13.69,105.27,-700.0,-700.0,SWEEP,
96,2026-04-03 13:47:58,vvix_max_110,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vvix110,10,146,98.6,16400.0,-820.0,9.26,20.0,11.79,124.44,-760.0,-820.0,SWEEP,
97,2026-04-03 13:48:02,vvix_max_120,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+vvix120,10,180,98.9,23670.0,-820.0,9.8,28.87,16.57,141.52,-760.0,-820.0,SWEEP,
98,2026-04-03 13:48:05,call_only_skip_wed_prior,15:55:00,always_call,15.0,12.0,single,skip_wed+prior1.5,10,83,98.8,10260.0,-700.0,10.86,14.66,15.66,133.66,-700.0,-700.0,SWEEP,
99,2026-04-03 13:48:09,put_only_skip_wed_prior,15:55:00,always_put,15.0,12.0,single,skip_wed+prior1.5,10,130,99.2,20850.0,-820.0,10.23,25.43,26.43,167.98,-820.0,-820.0,SWEEP,
100,2026-04-03 13:48:37,dow_skip_wed_(current),15:55:00,both_sides,15.0,12.0,single,skip_wed (current),10,213,99.1,31110.0,-820.0,10.22,37.94,21.47,154.64,-760.0,-820.0,SWEEP,
101,2026-04-03 13:48:43,dow_skip_wed+thu_(zero_DD),15:55:00,both_sides,15.0,12.0,single,skip_wed+thu (zero DD),10,156,100.0,24480.0,0.0,11.14,0,inf,156.92,0,30.0,SWEEP,
102,2026-04-03 13:48:49,dow_skip_tue+wed_(alt),15:55:00,both_sides,15.0,12.0,single,skip_tue+wed (alt),10,174,98.9,25340.0,-820.0,10.66,30.9,17.67,156.16,-760.0,-820.0,SWEEP,
103,2026-04-03 13:48:54,dow_M+F_only,15:55:00,both_sides,15.0,12.0,single,M+F only,10,117,100.0,18710.0,0.0,12.26,0,inf,159.91,0,30.0,SWEEP,
104,2026-04-03 13:48:57,dow_F_only,15:55:00,both_sides,15.0,12.0,single,F only,10,81,100.0,12530.0,0.0,12.64,0,inf,154.69,0,30.0,SWEEP,
105,2026-04-03 13:50:58,prior_range_1.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+range1.0,10,53,98.1,4860.0,-700.0,8.28,6.94,7.94,106.92,-700.0,-700.0,SWEEP,
106,2026-04-03 13:51:01,prior_range_1.5,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+range1.5,10,130,99.2,16220.0,-700.0,11.0,23.17,24.17,131.16,-700.0,-700.0,SWEEP,
107,2026-04-03 13:51:06,prior_range_2.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+range2.0,10,175,99.4,21620.0,-700.0,11.79,30.89,31.89,128.28,-700.0,-700.0,SWEEP,
108,2026-04-03 13:51:09,prior_range_2.5,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+range2.5,10,194,99.5,26490.0,-700.0,11.18,37.84,38.84,140.88,-700.0,-700.0,SWEEP,
109,2026-04-03 13:51:13,prior_range_3.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+range3.0,10,208,99.0,28960.0,-820.0,10.71,35.32,20.05,147.96,-760.0,-820.0,SWEEP,
110,2026-04-03 13:51:17,adaptive_otm_v1,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+adaptive_otm_v1,10,129,99.2,16070.0,-820.0,10.16,19.6,20.6,131.95,-820.0,-820.0,SWEEP,
111,2026-04-03 13:51:21,adaptive_otm_v2,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+adaptive_otm_v2,10,133,99.2,16290.0,-820.0,10.09,19.87,20.87,129.62,-820.0,-820.0,SWEEP,
112,2026-04-03 13:51:26,adaptive_otm_v3,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+adaptive_otm_v3,10,149,98.7,15410.0,-2080.0,6.52,7.41,6.31,124.56,-1450.0,-2080.0,SWEEP,
113,2026-04-03 13:51:30,intraday_range_1.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+idrange1.0,10,42,97.6,3360.0,-820.0,6.3,4.1,5.1,101.95,-820.0,-820.0,SWEEP,
114,2026-04-03 13:51:34,intraday_range_1.5,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+idrange1.5,10,125,99.2,12800.0,-820.0,9.67,15.61,16.61,109.84,-820.0,-820.0,SWEEP,
115,2026-04-03 13:51:38,intraday_range_2.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+idrange2.0,10,167,99.4,20960.0,-820.0,10.15,25.56,26.56,131.2,-820.0,-820.0,SWEEP,
116,2026-04-03 13:51:42,intraday_range_2.5,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+idrange2.5,10,196,99.0,25450.0,-820.0,10.21,31.04,17.74,139.02,-760.0,-820.0,SWEEP,
117,2026-04-03 13:51:46,intraday_range_3.0,15:55:00,both_sides,15.0,12.0,single,skip_wed+prior1.5+idrange3.0,10,206,99.0,28050.0,-820.0,10.52,34.21,19.45,144.95,-760.0,-820.0,SWEEP,
